friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_1d,P_2d,alpha_2d,mu_coda,sigma_coda,PSR_dB,tau_s_ms
steady,3000.0,8,50,1,3000.0,3000.290023201856,0.29002320185600183,0.6288457312935405,2.811514698505992,1.0,-0.004396448230416749,0.015207781530308686,45.35106163957429,68.9655172413793
steady,3000.0,8,50,2,3050.0,3049.5939675174013,0.4060324825986754,0.119408617234561,1.43297034579479,0.5096791229852914,-0.004396448230416749,0.015207781530308686,39.510034852170904,68.9655172413793
steady,3000.0,8,50,3,3100.0,3100.348027842227,0.34802784222711125,0.0231550380104289,0.6673175503418808,0.237351613596929,-0.004396448230416749,0.015207781530308686,32.90237068290039,68.9655172413793
steady,3000.0,8,50,4,3150.0,3149.6519721577724,0.348027842227566,0.0112390903883457,0.5314383410888464,0.1890220746031478,-0.004396448230416749,0.015207781530308686,30.93930083953739,68.9655172413793
steady,3000.0,8,50,5,3200.0,3200.406032482598,0.40603248259822067,0.0065002678262211,0.3634536915472147,0.129273267445605,-0.004396448230416749,0.015207781530308686,27.67210120850155,68.9655172413793
steady,3000.0,8,50,6,3250.0,3249.7099767981435,0.2900232018564566,0.0036342162928766,0.2859086859357209,0.1016920473820214,-0.004396448230416749,0.015207781530308686,25.61577703195622,68.9655172413793
steady,3000.0,8,50,7,3300.0,3300.46403712297,0.46403712296978483,0.0028757745954305,0.2141116468424559,0.0761552649737995,-0.004396448230416749,0.015207781530308686,23.148033318801634,68.9655172413793
steady,3000.0,8,50,8,3350.0,3349.7679814385147,0.23201856148534716,0.0020724087708198,0.1674003431227018,0.059540980956513,-0.004396448230416749,0.015207781530308686,21.05898366556969,68.9655172413793
steady,3000.0,8,60,1,3000.0,3000.290023201856,0.29002320185600183,0.6243588743837567,2.9139635854332573,1.0,-0.003404260349670077,0.017378283836430333,44.49968611604806,82.75862068965517
steady,3000.0,8,60,2,3060.0,3059.7447795823664,0.25522041763360903,0.1266767560414907,1.6396092029443328,0.5626731957601147,-0.003404260349670077,0.017378283836430333,39.51268471951531,82.75862068965517
steady,3000.0,8,60,3,3120.0,3120.6496519721577,0.6496519721576988,0.0240855696812767,0.8054703791947914,0.2764174484613648,-0.003404260349670077,0.017378283836430333,33.357486661956,82.75862068965517
steady,3000.0,8,60,4,3180.0,3180.104408352668,0.1044083526680879,0.0118324326154017,0.6182970205609619,0.2121841960042996,-0.003404260349670077,0.017378283836430333,31.07149751919995,82.75862068965517
steady,3000.0,8,60,5,3240.0,3239.5591647331785,0.44083526682152296,0.0052070874973076,0.4551618748600947,0.1562002617793248,-0.003404260349670077,0.017378283836430333,28.427901860659915,82.75862068965517
steady,3000.0,8,60,6,3300.0,3300.46403712297,0.46403712296978483,0.0030823474282698,0.2943217083977034,0.1010039074849807,-0.003404260349670077,0.017378283836430333,24.6761966170319,82.75862068965517
steady,3000.0,8,60,7,3360.0,3359.91879350348,0.08120649651982603,0.0020723261241506,0.2471500658459083,0.0848157702043353,-0.003404260349670077,0.017378283836430333,23.177900393761824,82.75862068965517
steady,3000.0,8,60,8,3420.0,3419.3735498839906,0.6264501160094369,0.0022786533488101,0.1730020267057714,0.0593700029645528,-0.003404260349670077,0.017378283836430333,20.130143459364756,82.75862068965517
steady,3000.0,8,70,1,3000.0,3000.290023201856,0.29002320185600183,0.6107236307685979,3.019114358320824,1.0,-0.002408004035560268,0.018820126499056882,44.11206549236327,96.55172413793103
steady,3000.0,8,70,2,3070.0,3069.8955916473315,0.10440835266854265,0.1214449022953495,1.892825520689944,0.6269472752740305,-0.002408004035560268,0.018820126499056882,40.06080383604571,96.55172413793103
steady,3000.0,8,70,3,3140.0,3139.501160092808,0.49883990719217763,0.0440020396819297,1.3678913812679063,0.4530770348257701,-0.002408004035560268,0.018820126499056882,37.24385849414031,96.55172413793103
steady,3000.0,8,70,4,3210.0,3210.556844547564,0.5568445475641965,0.0104968524838306,0.9200955973557852,0.3047567889636104,-0.002408004035560268,0.018820126499056882,33.80691064177803,96.55172413793103
steady,3000.0,8,70,5,3280.0,3280.162412993039,0.16241299303919732,0.0060501955551633,0.5769834000733391,0.1911101507245478,-0.002408004035560268,0.018820126499056882,29.766990189816237,96.55172413793103
steady,3000.0,8,70,6,3350.0,3349.7679814385147,0.23201856148534716,0.0043207566045409,0.3345435575597218,0.1108085080108687,-0.002408004035560268,0.018820126499056882,25.058898704796967,96.55172413793103
steady,3000.0,8,70,7,3420.0,3419.3735498839906,0.6264501160094369,0.0025637342475055,0.2347285327866494,0.0777474798659833,-0.002408004035560268,0.018820126499056882,22.00751869746248,96.55172413793103
steady,3000.0,8,70,8,3490.0,3490.429234338747,0.4292343387469373,0.0023643455761234,0.1869117834541857,0.0619094745248877,-0.002408004035560268,0.018820126499056882,20.051469402036105,96.55172413793103
steady,3000.0,8,80,1,3000.0,3000.290023201856,0.29002320185600183,0.6133925907694612,3.014694557015266,1.0,-0.002633976078827316,0.02467668183281184,41.74671676142273,110.34482758620689
steady,3000.0,8,80,2,3080.0,3080.046403712297,0.04640371229697848,0.1194247097361732,1.921445507093314,0.6373599284285915,-0.002633976078827316,0.02467668183281184,37.83872494150976,110.34482758620689
steady,3000.0,8,80,3,3160.0,3159.802784222737,0.19721577726295436,0.0390564385421502,1.468335619251728,0.4870594985601033,-0.002633976078827316,0.02467668183281184,35.506338689124206,110.34482758620689
steady,3000.0,8,80,4,3240.0,3239.5591647331785,0.44083526682152296,0.014424080064101,1.1705062295905415,0.3882669396363043,-0.002633976078827316,0.02467668183281184,33.541263150740136,110.34482758620689
steady,3000.0,8,80,5,3320.0,3319.3155452436195,0.6844547563805463,0.0070651762885456,0.9334287261690336,0.309626301608872,-0.002633976078827316,0.02467668183281184,31.580363587831744,110.34482758620689
steady,3000.0,8,80,6,3400.0,3400.522041763341,0.5220417633408942,0.0054376757392905,0.7332576348388056,0.2432278365091739,-0.002633976078827316,0.02467668183281184,29.49054180936162,110.34482758620689
